iter	Passed	Remaining
0	64	25655
1	73	14541
2	81	10756
3	93	9278
4	105	8321
5	130	8540
6	141	7968
7	150	7376
8	162	7074
9	175	6863
10	188	6671
11	203	6581
12	213	6356
13	222	6134
14	230	5928
15	240	5775
16	249	5625
17	259	5516
18	269	5412
19	279	5307
20	295	5331
21	310	5331
22	318	5228
23	329	5159
24	336	5052
25	347	5005
26	356	4919
27	365	4850
28	373	4784
29	382	4716
30	390	4649
31	397	4575
32	405	4514
33	413	4455
34	421	4394
35	428	4329
36	435	4272
37	442	4219
38	449	4160
39	456	4105
40	463	4061
41	472	4028
42	481	3994
43	489	3960
44	497	3924
45	505	3893
46	514	3867
47	522	3831
48	529	3791
49	536	3754
50	544	3726
51	557	3732
52	567	3712
53	575	3684
54	583	3662
55	591	3634
56	607	3653
57	615	3632
58	628	3630
59	636	3607
60	644	3579
61	651	3549
62	659	3525
63	667	3502
64	673	3472
65	680	3444
66	688	3421
67	695	3398
68	702	3371
69	715	3372
70	723	3351
71	739	3368
72	752	3368
73	760	3352
74	768	3331
75	776	3311
76	785	3294
77	792	3273
78	800	3254
79	809	3239
80	816	3215
81	823	3193
82	830	3172
83	837	3149
84	844	3128
85	850	3105
86	857	3084
87	864	3066
88	873	3051
89	881	3034
90	889	3018
91	897	3003
92	904	2984
93	912	2970
94	921	2956
95	929	2943
96	937	2928
97	946	2916
98	954	2900
99	962	2886
100	970	2871
101	978	2859
102	986	2843
103	995	2832
104	1003	2819
105	1011	2806
106	1019	2791
107	1027	2776
108	1034	2762
109	1042	2748
110	1049	2733
111	1057	2719
112	1065	2705
113	1074	2694
114	1082	2681
115	1090	2668
116	1097	2655
117	1105	2642
118	1113	2628
119	1121	2615
120	1129	2603
121	1136	2590
122	1144	2578
123	1153	2566
124	1160	2553
125	1167	2538
126	1173	2522
127	1181	2510
128	1189	2498
129	1197	2487
130	1204	2474
131	1211	2460
132	1217	2445
133	1224	2431
134	1231	2417
135	1238	2404
136	1245	2391
137	1252	2377
138	1258	2363
139	1265	2350
140	1272	2338
141	1280	2326
142	1287	2314
143	1295	2303
144	1303	2291
145	1311	2280
146	1319	2270
147	1327	2260
148	1336	2251
149	1343	2238
150	1349	2226
151	1356	2212
152	1363	2201
153	1370	2188
154	1377	2177
155	1384	2165
156	1392	2155
157	1399	2143
158	1406	2131
159	1414	2122
160	1422	2111
161	1430	2100
162	1437	2090
163	1445	2080
164	1453	2070
165	1461	2060
166	1469	2050
167	1477	2040
168	1487	2032
169	1495	2023
170	1503	2013
171	1511	2003
172	1520	1994
173	1528	1985
174	1537	1976
175	1545	1967
176	1554	1958
177	1562	1948
178	1570	1939
179	1579	1930
180	1587	1920
181	1596	1912
182	1607	1906
183	1615	1896
184	1623	1886
185	1631	1876
186	1639	1867
187	1647	1857
